Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2. Web - Detail Pengajuan,Chrome 103.0.5060.114,,,2022-07-15 16:24:54,2022-07-15 16:27:08,2m - 14.457s,PASSED
,,,,,,,
Test Cases/api,Chrome 103.0.5060.114,,,2022-07-15 16:24:54,2022-07-15 16:24:59,4.430s,PASSED
"request = sendRequest(findTestObject(""get request id"", [""nik"":nik]))",Chrome 103.0.5060.114,,,2022-07-15 16:24:55,2022-07-15 16:24:58,2.590s,PASSED
slurper = new groovy.json.JsonSlurper(),Chrome 103.0.5060.114,store json response to variable,,2022-07-15 16:24:58,2022-07-15 16:24:58,0.084s,PASSED
get_token = slurper.parseText(request.getResponseBodyContent()),Chrome 103.0.5060.114,,,2022-07-15 16:24:58,2022-07-15 16:24:58,0.116s,PASSED
req_id = requestId,Chrome 103.0.5060.114,define / field api,,2022-07-15 16:24:58,2022-07-15 16:24:58,0.023s,PASSED
request_id = req_id,Chrome 103.0.5060.114,store var to global variable,,2022-07-15 16:24:58,2022-07-15 16:24:58,0.488s,PASSED
"println(""token is :"" + request_id)",Chrome 103.0.5060.114,,,2022-07-15 16:24:58,2022-07-15 16:24:58,0.005s,PASSED
response_token = request.getResponseText(),Chrome 103.0.5060.114,show response to report in test suite,,2022-07-15 16:24:58,2022-07-15 16:24:58,0.002s,PASSED
logInfo($response_token),Chrome 103.0.5060.114,,,2022-07-15 16:24:58,2022-07-15 16:24:59,0.066s,PASSED
,,,,,,,
Test Cases/web,Chrome 103.0.5060.114,,,2022-07-15 16:24:59,2022-07-15 16:27:08,2m - 9.482s,PASSED
robot = new java.awt.Robot(),Chrome 103.0.5060.114,,,2022-07-15 16:25:00,2022-07-15 16:25:00,0.141s,PASSED
userDir = getProjectDir(),Chrome 103.0.5060.114,,,2022-07-15 16:25:00,2022-07-15 16:25:00,0.002s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-15 16:25:00,2022-07-15 16:25:03,3.066s,PASSED
"navigateToUrl(""https://tracking.idofocus.co.id:25443/status-pengajuan?request_id="" + request_id)",Chrome 103.0.5060.114,,,2022-07-15 16:25:03,2022-07-15 16:25:05,1.985s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-15 16:25:05,2022-07-15 16:25:10,5.080s,PASSED
"comment(""Verifikasi Element untuk cek setiap object yang muncul"")",Chrome 103.0.5060.114,,,2022-07-15 16:25:10,2022-07-15 16:25:10,0.061s,PASSED
"verifyElementPresent(findTestObject(""Verify2/3.3 Status Pengajuan Terbaru""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,Verifikasi List Data Tracking,,2022-07-15 16:25:10,2022-07-15 16:25:11,0.458s,PASSED
delay(3),Chrome 103.0.5060.114,,,2022-07-15 16:25:11,2022-07-15 16:25:14,3.011s,PASSED
"verifyElementPresent(findTestObject(""Verify2/3.1 Tipe Aplikasi Pengajuan""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,Verifikasi Pengajuan,,2022-07-15 16:25:14,2022-07-15 16:25:14,0.375s,PASSED
delay(3),Chrome 103.0.5060.114,,,2022-07-15 16:25:14,2022-07-15 16:25:17,3.013s,PASSED
"verifyElementPresent(findTestObject(""Verify2/3.4 Tanggal Pengajuan""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,Verifikasi Tanggal Pengajuan,,2022-07-15 16:25:17,2022-07-15 16:25:17,0.388s,PASSED
delay(3),Chrome 103.0.5060.114,,,2022-07-15 16:25:17,2022-07-15 16:25:20,3.010s,PASSED
"verifyElementPresent(findTestObject(""Verify2/3.2 Merk - Model Kendaraan""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,Verifikasi Kendaraan yang diajukan,,2022-07-15 16:25:20,2022-07-15 16:25:21,0.380s,PASSED
delay(3),Chrome 103.0.5060.114,,,2022-07-15 16:25:21,2022-07-15 16:25:24,3.012s,PASSED
"verifyElementPresent(findTestObject(""Verify2/3.5 Status Pengajuan""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,Verifikasi Flow Tracking Sampai di ?,,2022-07-15 16:25:24,2022-07-15 16:25:24,0.389s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sswebviewtracking + ""Screenshoot Web Tracking List Pengajuan.png"")",Chrome 103.0.5060.114,Melakukan screenshoot full page,,2022-07-15 16:25:24,2022-07-15 16:25:25,0.783s,PASSED
